work_year,employment_type,salary,salary_in_usd,remote_ratio,experience_level_encoded,company_size_encoded,job_title_grouped,employee_residence_grouped,company_location_grouped,salary_currency_grouped
2022,FT,35000,36773,0,1,2,Low,Low,Low,Low
2023,FT,151800,151800,100,2,2,Very High,Very High,Very High,Very High
2022,FT,100000,100000,0,1,2,High,High,High,High
2022,FT,156600,156600,100,1,2,Very High,Very High,Very High,Very High
2023,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,220000,220000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,104650,104650,100,1,2,High,High,High,High
2022,FT,42000,51716,0,2,2,Low,Low,Low,Low
2022,FT,90000,90000,100,2,2,High,High,High,High
2023,FT,140000,140000,0,1,2,High,High,High,High
2021,FT,100000,100000,100,4,2,High,High,High,High
2023,FT,106250,106250,0,2,2,High,High,High,High
2023,FT,215000,215000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,135000,135000,100,2,2,High,High,High,High
2022,FT,164996,164996,0,1,2,Very High,Very High,Very High,Very High
2022,FT,216200,216200,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,100000,100000,100,4,2,High,High,High,High
2022,FT,350000,430967,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,60400,60400,100,2,2,Medium,Medium,Medium,Medium
2023,FT,125000,125000,0,1,2,High,High,High,High
2022,FT,208000,208000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,221000,221000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2023,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,219000,219000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,120000,120000,100,1,1,High,High,High,High
2022,FT,66822,82280,100,1,2,Medium,Medium,Medium,Medium
2023,FT,48000,58331,100,2,2,Low,Low,Low,Low
2022,FT,66000,66000,100,1,2,Medium,Medium,Medium,Medium
2022,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,75000,75000,100,2,2,Medium,Medium,Medium,Medium
2022,FT,120000,83171,0,2,3,Medium,Medium,Medium,Medium
2021,FT,81000,95746,100,2,1,High,High,High,High
2020,FT,70000,79833,0,2,3,Medium,Medium,Medium,Medium
2022,FT,130000,130000,0,1,2,High,High,High,High
2023,FT,100000,100000,0,1,2,High,High,High,High
2023,FT,145000,145000,0,1,2,High,High,High,High
2022,FT,113000,113000,0,2,3,High,High,High,High
2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,230000,230000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,145885,145885,0,4,2,High,High,High,High
2023,FT,110680,110680,0,4,3,High,High,High,High
2020,PT,19000,21669,50,4,1,Low,Low,Low,Low
2022,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,60000,63040,100,2,2,Medium,Medium,Medium,Medium
2022,FT,130000,130000,100,2,2,High,High,High,High
2023,FT,225000,225000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,130000,130000,0,1,2,High,High,High,High
2023,FT,225000,225000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,110000,110000,100,1,2,High,High,High,High
2023,FT,106020,106020,0,1,2,High,High,High,High
2023,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,202800,202800,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,110000,110000,100,3,2,High,High,High,High
2022,FT,140000,140000,100,1,2,High,High,High,High
2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,245000,245000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,133300,133300,0,1,2,High,High,High,High
2021,PT,400000,5409,50,2,2,Low,Low,Low,Low
2020,FT,150000,150000,50,1,3,Very High,Very High,Very High,Very High
2022,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,201450,201450,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,60000,73880,100,2,2,Medium,Medium,Medium,Medium
2022,FT,142200,142200,0,1,2,High,High,High,High
2022,FT,105700,105700,0,1,3,High,High,High,High
2023,FT,100000,100000,100,1,2,High,High,High,High
2022,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,253200,253200,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,24000,24000,0,2,2,Low,Low,Low,Low
2022,FT,100000,76814,100,2,2,Medium,Medium,Medium,Medium
2023,FT,135000,135000,0,4,2,High,High,High,High
2023,FT,140000,140000,100,1,2,High,High,High,High
2023,FT,170000,170000,0,2,2,Very High,Very High,Very High,Very High
2023,FT,105500,105500,0,1,2,High,High,High,High
2022,FT,120000,120000,100,4,2,High,High,High,High
2023,FT,147000,147000,0,1,2,High,High,High,High
2023,FT,115000,115000,100,1,2,High,High,High,High
2023,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
2023,FT,48000,48000,0,1,2,Low,Low,Low,Low
2023,FT,195000,195000,0,2,2,Very High,Very High,Very High,Very High
2022,FT,130000,130000,0,1,2,High,High,High,High
2022,FT,55000,55000,100,4,1,Low,Low,Low,Low
2022,FT,172200,172200,0,1,2,Very High,Very High,Very High,Very High
2023,FT,145900,145900,0,1,2,High,High,High,High
2023,FT,189110,189110,0,1,2,Very High,Very High,Very High,Very High
2022,FT,212800,212800,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,210000,210000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,182500,182500,100,1,2,Very High,Very High,Very High,Very High
2022,FT,88000,67597,100,2,2,Medium,Medium,Medium,Medium
2023,FT,145000,145000,100,1,2,High,High,High,High
2023,FT,140000,140000,100,1,2,High,High,High,High
2022,FT,160080,160080,0,1,2,Very High,Very High,Very High,Very High
2022,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
2022,FT,65000,80036,0,2,2,Medium,Medium,Medium,Medium
2023,FT,1500000,423834,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,35000,42533,100,1,2,Low,Low,Low,Low
2022,FT,45000,47280,0,1,2,Low,Low,Low,Low
2023,FT,70000,70000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,75000,75000,100,1,2,Medium,Medium,Medium,Medium
2022,FT,161000,161000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,275000,275000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2021,FT,700000,9466,0,2,1,Low,Low,Low,Low
2023,FT,175000,175000,0,2,2,Very High,Very High,Very High,Very High
2020,FT,720000,33511,0,1,1,Low,Low,Low,Low
2022,FT,198440,198440,0,1,3,Very High,Very High,Very High,Very High
2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,147100,147100,0,1,2,High,High,High,High
2022,FT,166000,166000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,120000,83171,50,4,2,Medium,Medium,Medium,Medium
2023,FT,61200,61200,0,2,2,Medium,Medium,Medium,Medium
2023,FT,80000,80000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,241000,241000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,113000,113000,0,1,2,High,High,High,High
2022,FT,153000,153000,100,1,2,Very High,Very High,Very High,Very High
2020,FT,48000,54742,100,4,3,Low,Low,Low,Low
2022,FT,227200,227200,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,180000,180000,100,3,1,Very High,Very High,Very High,Very High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,183600,183600,0,1,2,Very High,Very High,Very High,Very High
2021,FT,423000,423000,50,2,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,147000,147000,0,2,2,High,High,High,High
2023,FT,75000,75000,100,4,2,Medium,Medium,Medium,Medium
2022,FT,84000,84000,100,2,2,Medium,Medium,Medium,Medium
2022,FT,50000,50000,100,4,1,Low,Low,Low,Low
2022,FT,130000,130000,100,1,2,High,High,High,High
2022,FT,1400000,17805,100,2,2,Low,Low,Low,Low
2023,FT,36000,38631,50,2,3,Low,Low,Low,Low
2022,FT,165000,165000,100,1,2,Very High,Very High,Very High,Very High
2021,FT,160000,119059,100,2,2,High,High,High,High
2023,FT,75000,75000,0,4,2,Medium,Medium,Medium,Medium
2023,FT,81500,81500,0,1,2,Medium,Medium,Medium,Medium
2023,FT,115934,115934,100,1,2,High,High,High,High
2023,FT,129000,129000,0,1,2,High,High,High,High
