,work_year,employment_type,salary,salary_in_usd,remote_ratio,experience_level_encoded,company_size_encoded,job_title_grouped,employee_residence_grouped,company_location_grouped,salary_currency_grouped
2238,2022,FT,35000,36773,0,1,2,Low,Low,Low,Low
485,2023,FT,151800,151800,100,2,2,Very High,Very High,Very High,Very High
2177,2022,FT,100000,100000,0,1,2,High,High,High,High
3305,2022,FT,156600,156600,100,1,2,Very High,Very High,Very High,Very High
1769,2023,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
258,2023,FT,220000,220000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
386,2023,FT,104650,104650,100,1,2,High,High,High,High
2115,2022,FT,42000,51716,0,2,2,Low,Low,Low,Low
2236,2022,FT,90000,90000,100,2,2,High,High,High,High
1600,2023,FT,140000,140000,0,1,2,High,High,High,High
3627,2021,FT,100000,100000,100,4,2,High,High,High,High
790,2023,FT,106250,106250,0,2,2,High,High,High,High
209,2023,FT,215000,215000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3398,2022,FT,135000,135000,100,2,2,High,High,High,High
3207,2022,FT,164996,164996,0,1,2,Very High,Very High,Very High,Very High
3055,2022,FT,216200,216200,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2525,2022,FT,100000,100000,100,4,2,High,High,High,High
2011,2022,FT,350000,430967,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
596,2023,FT,60400,60400,100,2,2,Medium,Medium,Medium,Medium
1732,2023,FT,125000,125000,0,1,2,High,High,High,High
2329,2022,FT,208000,208000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
296,2023,FT,221000,221000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
1011,2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
507,2023,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
7,2023,FT,219000,219000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2610,2022,FT,120000,120000,100,1,1,High,High,High,High
2903,2022,FT,66822,82280,100,1,2,Medium,Medium,Medium,Medium
1800,2023,FT,48000,58331,100,2,2,Low,Low,Low,Low
2641,2022,FT,66000,66000,100,1,2,Medium,Medium,Medium,Medium
2155,2022,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2932,2022,FT,75000,75000,100,2,2,Medium,Medium,Medium,Medium
2654,2022,FT,120000,83171,0,2,3,Medium,Medium,Medium,Medium
3577,2021,FT,81000,95746,100,2,1,High,High,High,High
3617,2020,FT,70000,79833,0,2,3,Medium,Medium,Medium,Medium
2615,2022,FT,130000,130000,0,1,2,High,High,High,High
1104,2023,FT,100000,100000,0,1,2,High,High,High,High
829,2023,FT,145000,145000,0,1,2,High,High,High,High
2934,2022,FT,113000,113000,0,2,3,High,High,High,High
1057,2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
2304,2022,FT,230000,230000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
96,2023,FT,145885,145885,0,4,2,High,High,High,High
43,2023,FT,110680,110680,0,4,3,High,High,High,High
3710,2020,PT,19000,21669,50,4,1,Low,Low,Low,Low
2333,2022,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3220,2022,FT,60000,63040,100,2,2,Medium,Medium,Medium,Medium
2077,2022,FT,130000,130000,100,2,2,High,High,High,High
25,2023,FT,225000,225000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2163,2022,FT,130000,130000,0,1,2,High,High,High,High
1429,2023,FT,225000,225000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
679,2023,FT,110000,110000,100,1,2,High,High,High,High
1414,2023,FT,106020,106020,0,1,2,High,High,High,High
781,2023,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2536,2022,FT,202800,202800,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
3275,2022,FT,110000,110000,100,3,2,High,High,High,High
1957,2022,FT,140000,140000,100,1,2,High,High,High,High
3100,2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
1106,2023,FT,245000,245000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1226,2023,FT,133300,133300,0,1,2,High,High,High,High
3537,2021,PT,400000,5409,50,2,2,Low,Low,Low,Low
3623,2020,FT,150000,150000,50,1,3,Very High,Very High,Very High,Very High
1993,2022,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
67,2023,FT,201450,201450,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1927,2022,FT,60000,73880,100,2,2,Medium,Medium,Medium,Medium
2334,2022,FT,142200,142200,0,1,2,High,High,High,High
2564,2022,FT,105700,105700,0,1,3,High,High,High,High
1351,2023,FT,100000,100000,100,1,2,High,High,High,High
2292,2022,FT,129300,129300,0,1,2,High,High,High,High
31,2023,FT,253200,253200,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3042,2022,FT,24000,24000,0,2,2,Low,Low,Low,Low
3418,2022,FT,100000,76814,100,2,2,Medium,Medium,Medium,Medium
1745,2023,FT,135000,135000,0,4,2,High,High,High,High
610,2023,FT,140000,140000,100,1,2,High,High,High,High
1251,2023,FT,170000,170000,0,2,2,Very High,Very High,Very High,Very High
570,2023,FT,105500,105500,0,1,2,High,High,High,High
3490,2022,FT,120000,120000,100,4,2,High,High,High,High
343,2023,FT,147000,147000,0,1,2,High,High,High,High
1674,2023,FT,115000,115000,100,1,2,High,High,High,High
1688,2023,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
678,2023,FT,48000,48000,0,1,2,Low,Low,Low,Low
1465,2023,FT,195000,195000,0,2,2,Very High,Very High,Very High,Very High
2857,2022,FT,130000,130000,0,1,2,High,High,High,High
3071,2022,FT,55000,55000,100,4,1,Low,Low,Low,Low
2347,2022,FT,172200,172200,0,1,2,Very High,Very High,Very High,Very High
1791,2023,FT,145900,145900,0,1,2,High,High,High,High
56,2023,FT,189110,189110,0,1,2,Very High,Very High,Very High,Very High
2868,2022,FT,212800,212800,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3374,2022,FT,210000,210000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2417,2022,FT,182500,182500,100,1,2,Very High,Very High,Very High,Very High
3433,2022,FT,88000,67597,100,2,2,Medium,Medium,Medium,Medium
576,2023,FT,145000,145000,100,1,2,High,High,High,High
1188,2023,FT,140000,140000,100,1,2,High,High,High,High
3251,2022,FT,160080,160080,0,1,2,Very High,Very High,Very High,Very High
2044,2022,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
2369,2022,FT,65000,80036,0,2,2,Medium,Medium,Medium,Medium
528,2023,FT,1500000,423834,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
176,2023,FT,35000,42533,100,1,2,Low,Low,Low,Low
2644,2022,FT,45000,47280,0,1,2,Low,Low,Low,Low
422,2023,FT,70000,70000,0,1,2,Medium,Medium,Medium,Medium
680,2023,FT,75000,75000,100,1,2,Medium,Medium,Medium,Medium
2440,2022,FT,161000,161000,100,1,2,Very High,Very High,Very High,Very High
2477,2022,FT,275000,275000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1420,2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
3494,2021,FT,700000,9466,0,2,1,Low,Low,Low,Low
1514,2023,FT,175000,175000,0,2,2,Very High,Very High,Very High,Very High
3594,2020,FT,720000,33511,0,1,1,Low,Low,Low,Low
2460,2022,FT,198440,198440,0,1,3,Very High,Very High,Very High,Very High
288,2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
1073,2023,FT,147100,147100,0,1,2,High,High,High,High
2478,2022,FT,166000,166000,100,1,2,Very High,Very High,Very High,Very High
3448,2022,FT,120000,83171,50,4,2,Medium,Medium,Medium,Medium
1442,2023,FT,61200,61200,0,2,2,Medium,Medium,Medium,Medium
1231,2023,FT,80000,80000,0,1,2,Medium,Medium,Medium,Medium
177,2023,FT,241000,241000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1580,2023,FT,113000,113000,0,1,2,High,High,High,High
2751,2022,FT,153000,153000,100,1,2,Very High,Very High,Very High,Very High
3446,2020,FT,48000,54742,100,4,3,Low,Low,Low,Low
2147,2022,FT,227200,227200,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2915,2022,FT,180000,180000,100,3,1,Very High,Very High,Very High,Very High
1498,2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
370,2023,FT,183600,183600,0,1,2,Very High,Very High,Very High,Very High
3747,2021,FT,423000,423000,50,2,3,Extremely High,Extremely High,Extremely High,Extremely High
729,2023,FT,147000,147000,0,2,2,High,High,High,High
598,2023,FT,75000,75000,100,4,2,Medium,Medium,Medium,Medium
2567,2022,FT,84000,84000,100,2,2,Medium,Medium,Medium,Medium
2206,2022,FT,50000,50000,100,4,1,Low,Low,Low,Low
3335,2022,FT,130000,130000,100,1,2,High,High,High,High
3422,2022,FT,1400000,17805,100,2,2,Low,Low,Low,Low
1070,2023,FT,36000,38631,50,2,3,Low,Low,Low,Low
2694,2022,FT,165000,165000,100,1,2,Very High,Very High,Very High,Very High
3746,2021,FT,160000,119059,100,2,2,High,High,High,High
141,2023,FT,75000,75000,0,4,2,Medium,Medium,Medium,Medium
491,2023,FT,81500,81500,0,1,2,Medium,Medium,Medium,Medium
665,2023,FT,115934,115934,100,1,2,High,High,High,High
1610,2023,FT,129000,129000,0,1,2,High,High,High,High
198,2023,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
654,2023,FT,121600,121600,100,1,2,High,High,High,High
471,2022,FT,57000,59888,100,4,3,Low,Low,Low,Low
1650,2023,FT,150900,150900,0,3,2,Very High,Very High,Very High,Very High
3270,2022,FT,146000,146000,100,1,2,High,High,High,High
759,2023,FT,193000,193000,100,1,2,Very High,Very High,Very High,Very High
2318,2022,FT,138750,138750,100,1,2,High,High,High,High
3192,2022,FT,6000000,76309,50,3,3,Medium,Medium,Medium,Medium
2772,2022,FT,195700,195700,0,1,2,Very High,Very High,Very High,Very High
69,2023,FT,159100,159100,0,1,3,Very High,Very High,Very High,Very High
1536,2023,FT,133300,133300,0,1,2,High,High,High,High
1292,2023,FT,145000,145000,100,1,2,High,High,High,High
195,2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
532,2023,FT,165000,165000,100,1,2,Very High,Very High,Very High,Very High
3429,2022,FT,90000,69133,50,2,3,Medium,Medium,Medium,Medium
874,2023,FT,149600,149600,0,2,2,High,High,High,High
2293,2022,FT,247500,247500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3260,2022,FT,130000,130000,0,2,2,High,High,High,High
2123,2022,FT,78000,78000,0,1,2,Medium,Medium,Medium,Medium
978,2023,FT,93800,93800,100,1,2,High,High,High,High
1097,2023,FT,300240,300240,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
227,2023,FT,140000,140000,0,1,2,High,High,High,High
1452,2023,FT,130000,130000,100,1,2,High,High,High,High
840,2023,FT,122700,122700,0,1,2,High,High,High,High
555,2023,FT,190000,190000,100,1,2,Very High,Very High,Very High,Very High
3049,2022,FT,115000,115000,100,1,2,High,High,High,High
2826,2022,FT,222640,222640,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
1999,2022,FT,159000,159000,100,3,2,Very High,Very High,Very High,Very High
1027,2023,FT,109400,109400,0,1,2,High,High,High,High
1517,2023,FT,80000,80000,0,2,2,Medium,Medium,Medium,Medium
1480,2023,FT,124234,124234,0,4,2,High,High,High,High
